model,R2,RMSE,epochs,seed
dynamic patience 30,0.6991595029830933,2.483696699142456,884,10872248
dynamic patience 50,0.6604964733123779,2.638472318649292,952,95822412
dynamic patience 50,0.6609925031661987,2.6365442276000977,401,24942603
dynamic patience 50,0.659846842288971,2.640995502471924,502,13356886
dynamic patience 50,0.6845715045928955,2.5432024002075195,601,46913810
dynamic patience 50,0.6519812941551208,2.671355724334717,654,42868828
dynamic patience 50,0.6305673122406006,2.752314567565918,703,39958838
dynamic patience 50,0.6403615474700928,2.715585231781006,851,28728463
dynamic patience 50,0.6934220790863037,2.5072684288024902,702,23756669
dynamic patience 50,0.6697707176208496,2.6021852493286133,651,83197857
dynamic patience 50,0.7004454135894775,2.4783828258514404,760,21668732
dynamic patience 50,0.6753740310668945,2.5800139904022217,651,89254563
dynamic patience 50,0.6804959774017334,2.5595791339874268,1106,66629388
dynamic patience 50,0.6707525253295898,2.598314046859741,706,14265799
dynamic patience 50,0.6180918216705322,2.798400640487671,852,13999315
dynamic patience 50,0.6539931297302246,2.663623094558716,651,22575562
dynamic patience 50,0.6382535696029663,2.723532199859619,501,39345092
dynamic patience 50,0.6854360103607178,2.5397145748138428,801,41227216
dynamic patience 50,0.6823277473449707,2.5522313117980957,601,77827638
dynamic patience 50,0.7034705877304077,2.465836524963379,803,90801586
dynamic patience 50,0.5988894701004028,2.867889642715454,752,13561597
dynamic patience 50,0.6283756494522095,2.7604665756225586,1057,85329037
dynamic patience 50,0.6726512908935547,2.590811014175415,652,36687537
dynamic patience 50,0.6679607629776001,2.609306573867798,502,97226012
dynamic patience 50,0.6915513873100281,2.514906406402588,651,83140807
dynamic patience 50,0.6615421772003174,2.6344056129455566,802,66306997
dynamic patience 50,0.6308364868164062,2.7513115406036377,662,39587039
dynamic patience 50,0.6462782621383667,2.693154811859131,802,70291817
dynamic patience 50,0.6444617509841919,2.700061082839966,451,89089901
dynamic patience 50,0.5817041397094727,2.9286818504333496,602,47338124
dynamic patience 50,0.665611982345581,2.6185190677642822,651,10872248
